genome_id,ceftriaxone,ciprofloxacin,meropenem
562.109952,,,Susceptible
562.109956,,Resistant,
562.109957,Resistant,,
562.109958,Susceptible,,
562.109979,Resistant,,
562.11,Susceptible,,
562.110002,,,Susceptible
562.110014,Susceptible,,
562.110018,,Susceptible,
562.110022,,,Susceptible
562.110572,,,Resistant
562.11059,Resistant,,
562.110593,,Susceptible,
562.110599,Susceptible,,
562.110606,,Susceptible,
562.110626,Resistant,,
562.110641,,Susceptible,
562.110645,,Resistant,
562.110656,,,Susceptible
562.110661,Resistant,,
562.110686,,Resistant,
562.110693,,Resistant,
562.110694,Resistant,,
562.110696,Resistant,,
562.110706,,Resistant,Susceptible
562.11072,,Resistant,Susceptible
562.110725,,Susceptible,
562.110732,,,Susceptible
562.110741,,,Susceptible
562.110749,,,Susceptible
562.110751,,Resistant,
562.110752,Susceptible,,
562.110761,,Resistant,
562.110762,Resistant,,
562.110785,,Susceptible,
562.110802,,Susceptible,
562.110806,Resistant,,
562.110807,Susceptible,,
562.110815,Resistant,,
562.110819,,,Susceptible
562.110835,Resistant,,
562.110838,Resistant,,
562.110839,,,Susceptible
562.110847,Resistant,Resistant,
562.110853,,,Resistant
562.110859,,,Susceptible
562.110868,,Resistant,
562.11087,Susceptible,,
562.110879,,Resistant,
562.110887,,,Susceptible
562.110898,,Resistant,
562.110905,Resistant,,
562.110907,Resistant,,
562.110913,,Resistant,Susceptible
562.110914,,,Susceptible
562.110919,Resistant,Resistant,
562.110931,Resistant,,
562.110935,Resistant,,
562.110938,Resistant,,
562.110945,,,Susceptible
562.110949,Resistant,,
562.110951,,,Susceptible
562.110952,Resistant,,
562.110958,,,Susceptible
562.110964,Resistant,,
562.110968,,Resistant,
562.110973,,,Susceptible
562.110985,,Susceptible,
562.110993,Resistant,,
562.111006,Resistant,,
562.111017,Susceptible,Susceptible,
562.111028,,Susceptible,
562.111059,Resistant,,
562.111067,,,Susceptible
562.11107,,,Susceptible
562.111072,Resistant,,
562.111077,Resistant,,
562.111078,,,Susceptible
562.111086,Resistant,,
562.1111,Resistant,,
562.111103,,,Susceptible
562.111109,,Resistant,
562.111115,,,Susceptible
562.11112,Resistant,,
562.111126,Resistant,,
562.111129,Resistant,,
562.11113,Resistant,,
562.111133,,,Susceptible
562.11114,Resistant,,
562.111143,Susceptible,,
562.111149,Susceptible,,
562.111155,,Susceptible,
562.11116,,Susceptible,
562.111172,,Resistant,
562.111174,,,Susceptible
562.111176,Resistant,,
562.111194,,Resistant,
562.1112,,Susceptible,
562.111206,,Resistant,
562.111208,,Susceptible,
562.11121,,Susceptible,
562.11123,,Susceptible,
562.111231,,,Susceptible
562.111242,,,Susceptible
562.111246,,,Susceptible
562.111274,,Susceptible,
562.1113,,Susceptible,
562.112335,,Resistant,
562.112345,,,Susceptible
562.112357,Susceptible,,
562.112366,,,Susceptible
562.112368,,Susceptible,
562.112372,,,Susceptible
562.112373,Susceptible,,
562.112391,Resistant,,
562.112394,,,Susceptible
562.112396,,,Susceptible
562.1124,,,Susceptible
562.112407,Resistant,,
562.112421,,,Susceptible
562.112426,,Susceptible,
562.112433,Susceptible,,
562.112439,Susceptible,,
562.112455,Susceptible,,
562.112473,,,Susceptible
562.112492,,Susceptible,
562.112495,Susceptible,,
562.112505,,Susceptible,
562.112509,,Resistant,
562.112519,,Susceptible,
562.112523,,,Susceptible
562.112535,Resistant,,
562.112538,,Resistant,
562.112549,Susceptible,,
562.112553,Resistant,,
562.112569,Resistant,,
562.112571,Resistant,,
562.112582,,,Susceptible
562.112584,,,Susceptible
562.112593,,Susceptible,
562.112604,,Susceptible,
562.112612,Susceptible,Susceptible,
562.112634,,Susceptible,
562.112636,Susceptible,,
562.112645,,Susceptible,
562.112649,Resistant,,Susceptible
562.112656,Resistant,,
562.11266,,Susceptible,
562.112667,,,Susceptible
562.1131,Susceptible,,
562.11315,,,Susceptible
562.11317,,,Susceptible
562.11331,,Susceptible,
562.11347,Resistant,,
562.114409,,,Susceptible
562.11443,,Susceptible,
562.114435,,Susceptible,
562.114441,,,Susceptible
562.114444,,,Susceptible
562.114445,,Susceptible,
562.114449,,,Susceptible
562.114471,,Susceptible,
562.114482,Susceptible,,
562.114489,,,Susceptible
562.114497,Susceptible,,
562.114556,,Susceptible,
562.11457,Susceptible,,
562.11458,Susceptible,,
562.114584,,,Susceptible
562.114585,,Susceptible,
562.114593,Susceptible,,
562.1146,,Susceptible,
562.114627,,,Resistant
562.114628,,Resistant,Resistant
562.114629,,,Resistant
562.11463,Resistant,,
562.114633,,,Susceptible
562.114653,Susceptible,,
562.114655,,,Susceptible
562.11466,Susceptible,Susceptible,
562.114675,Susceptible,,
562.114682,,,Resistant
562.114688,Susceptible,,
562.11469,,,Susceptible
562.114697,,Resistant,
562.114701,,,Susceptible
562.114707,,Susceptible,
562.114724,Susceptible,,
562.114725,,,Susceptible
562.114729,,Susceptible,
562.114735,,Susceptible,
562.114756,Susceptible,,
562.114757,Susceptible,,
562.114766,,Susceptible,
562.114772,Susceptible,,
562.114779,,Susceptible,
